06:p0401 =OK=> 06:p0401 XI. JOAN VAN HOORN, ABRAHAM VAN RIEBEECK, CHRISTOF
09:p0294 =OK=> 09:p0294 XVII. DIDERIK DURVEN, CORNELIS HASSELAAR, WIJBRANT
09:p0294 =OK=> 09:p0325 XVIII. DIDERIK DURVEN, CORNELIS HASSELAAR, WIJBRAN
09:p0344 =OK=> 09:p0344 I. DIRK VAN CLOON, WIJBRANT BLOM, JOAN EVERARD VAN
09:p0344 =OK=> 09:p0365 II. DIRK VAN CLOON, WIJBRANT BLOM, JOAN EVERARD VA
09:p0344 =OK=> 09:p0424 III. DIRK VAN CLOON, WIJBRANT BLOM, JOAN EVERARD V
09:p0344 =OK=> 09:p0425 IV. DIRK VAN CLOON, WIJBRANT BLOM, JOAN EVERARD VA
09:p0344 =OK=> 09:p0427 V. DIRK VAN CLOON, WIJBRANT BLOM, JOAN EVERARD VAN
09:p0344 =OK=> 09:p0467 VI. DIRK VAN CLOON, WIJBRANT BLOM, JOAN EVERARD VA
09:p0344 =OK=> 09:p0482 VII. DIRK VAN CLOON, WIJBRANT BLOM, JOAN EVERARD V
09:p0344 =OK=> 09:p0484 VIII. DIRK VAN CLOON, MICHIEL WESTPALM, JOAN FRANQ
09:p0344 =OK=> 09:p0525 IX. DIRK VAN CLOON, JOAN EVERARD VAN DER SCHUER, M
09:p0344 =OK=> 09:p0548 X. DIRK VAN CLOON, WIJBRANT BLOM, JOAN EVERARD VAN
09:p0344 =OK=> 09:p0567 XI. DIRK VAN CLOON, WIJBRANT BLOM, MICHIEL WESTPAL
09:p0344 =OK=> 09:p0588 XII. DIRK VAN CLOON, WIJBRANT BLOM, JOAN FRANQOIS 
09:p0344 =OK=> 09:p0597 XIII. DIRK VAN CLOON, WIJBRANT BLOM, HERMAN VAN BA
09:p0628 =OK=> 09:p0628 I. ABRAHAM PATRAS, WIJBRANT BLOM, HERMAN VAN BAYEN
09:p0628 =OK=> 09:p0652 II. ABRAHAM PATRAS, WIJBRANT BLOM, HERMAN VAN BAYE
09:p0628 =OK=> 09:p0672 III. ABRAHAM PATRAS, WIJBRANT BLOM, HERMAN VAN BAY
09:p0628 =OK=> 09:p0692 IV. ABRAHAM PATRAS, WIJBRANT BLOM, HERMAN VAN BAYE
09:p0628 =OK=> 09:p0702 V. ABRAHAM PATRAS, WIJBRANT BLOM, HERMAN VAN BAYEN
09:p0628 =OK=> 09:p0750 VI. ABRAHAM PATRAS, WIJBRANT BLOM, ADRIAAN VALCKEN
09:p0628 =OK=> 09:p0782 VII. ABRAHAM PATRAS, WIJBRANT BLOM, ADRIAAN VALCKE
09:p0628 =OK=> 09:p0805 VIII. ABRAHAM PATRAS, WIJBRANT BLOM, ADRIAAN VALCK
09:p0628 =OK=> 09:p0807 IX. ABRAHAM PATRAS, WIJBRANT BLOM, ADRI AAN VALCKE
10:p0749 =OK=> 10:p0749 I. JOHANNES THEDENS, JOAN PAUL SCHAGHEN, HERMAN VA
10:p0749 =OK=> 10:p0767 II. JOHANNES THEDENS, HERMAN VAN SUCHTELEN, PIETER
10:p0749 =OK=> 10:p0799 III. JOHANNES THEDENS, HERMAN VAN SUCHTELEN, PIETE
10:p0749 =OK=> 10:p0807 IV. JOHANNES THEDENS, HERMAN VAN SUCHTELEN, PIETER
10:p0749 =OK=> 10:p0857 V. JOHANNES THEDENS, PIETER ROCHUS PASQUES DE CHAV
10:p0749 =OK=> 10:p0997 VI. JOHANNES THEDENS, DANIﾃ記 NOLTHENIUS, PIETER RO
10:p0749 =OK=> 10:p1001 VIL JOHANNES THEDENS, DANIﾃ記 NOLTHENIUS, PIETER RO
10:p0749 =OK=> 10:p1016 VIII. JOHANNES THEDENS, PIETER ROCHUS PASQUES DE C
11:p0350 =OK=> 11:p0350 XVII. GUSTAAF WILLEM VAN IMHOFF, PIETER ROCHUS PAS
11:p0350 =OK=> 11:p0353 XVIII. GUSTAAF WILLEM VAN IMHOFF, PIETER ROCHUS PA
11:p0350 =OK=> 11:p0355 XIX. GUSTAAF WILLEM VAN IMHOFF, PIETER ROCHUS PASQ
11:p0350 =OK=> 11:p0363 XX. GUSTAAF WILLEM VAN IMHOFF, PIETER ROCHUS PASQU
11:p0350 =OK=> 11:p0475 XXI. GUSTAAF WILLEM VAN IMHOFF, NICOLAAS CRUL, DAN
11:p0350 =OK=> 11:p0479 XXII. GUSTAAF WILLEM VAN IMHOFF, NICOLAAS CRUL, DA
11:p0350 =OK=> 11:p0481 XXIII. GUSTAAF WILLEM VAN IMHOFF, DANIﾃ記 NOLTHENIU
11:p0350 =OK=> 11:p0505 XXIV. GUSTAAF WILLEM VAN IMHOFF, DANIﾃ記 NOLTHENIUS
11:p0350 =OK=> 11:p0507 XXV. GUSTAAF WILLEM VAN IMHOFF, JOHANNES MATTHEUS 
11:p0350 =OK=> 11:p0601 XXVI. GUSTAAF WILLEM VAN IMHOFF, JOH ANNES MATTHEU
11:p0350 =OK=> 11:p0604 XXVII. GUSTAAF WILLEM VAN IMHOFF, JOHANNES MATTHEU
11:p0350 =OK=> 11:p0608 XXVIII. GUSTAAF WILLEM VAN IMHOFF, JOHANNES MATTHE
11:p0350 =OK=> 11:p0616 XXIX. GUSTAAF WILLEM VAN IMHOFF, JOHANNES MATTHEUS
11:p0350 =OK=> 11:p0618 XXX. GUSTAAF WILLEM VAN IMHOFF, JOHANNES MATTHEUS 
11:p0350 =OK=> 11:p0641 XXXI. GUSTAAF WILLEM VAN IMHOFF, JOH ANNES MATTHEU
11:p0350 =OK=> 11:p0735 XXXII. GUSTAAF WILLEM VAN IMHOFF, JOH ANNES M ATTH
11:p0350 =OK=> 11:p0751 XXXIII. GUSTAAF WILLEM VAN IMHOFF, JOHANNES MATTHE
11:p0350 =OK=> 11:p0754 XXXIV. GUSTAAF WILLEM VAN IMHOFF, JOHANNES MATTHEU
11:p0350 =OK=> 11:p0766 XXXV. GUSTAAF WILLEM VAN IMHOFF, JOHANNES MATTHEUS
11:p0350 =OK=> 11:p0769 XXXVI. GUSTAAF WILLEM VAN IMHOFF, JOHANNES MATTHEU
11:p0350 =OK=> 11:p0846 XXXVII. GUSTAAF WILLEM VAN IMHOFF, JOHANNES MATTHE
11:p0350 =OK=> 11:p0854 XXXVIII. GUSTAAF WILLEM VAN IMHOFF, JOHANNES MATTH
11:p0350 =OK=> 11:p0858 XXXIX. GUSTAAF WILLEM VAN IMHOFF, JOHANNES MATTHEU
11:p0350 =OK=> 11:p0862 XL. GUSTAAF WILLEM VAN IMHOFF, JOHANNES MATTHEUS C
12:p0281 =OK=> 12:p0281 XVII. JACOB MOSSEL, AREND VAN BROYEL, JACOB VAN DE
12:p0281 =OK=> 12:p0293 XVIII. JACOB MOSSEL, JACOB VAN DER WAEYEN, PETRUS 
12:p0281 =OK=> 12:p0392 XIX. JACOB MOSSEL, JACOB VAN DER WAEYEN, PETRUS AL
12:p0281 =OK=> 12:p0394 XX. JACOB MOSSEL, JACOB VAN DER WAEYEN, PETRUS ALB
12:p0281 =OK=> 12:p0403 XXL JACOB MOSSEL, JACOB VAN DER WAEYEN, PETRUS ALB
12:p0281 =OK=> 12:p0499 XXII. JACOB MOSSEL, JACOB VAN DER WAEYEN, PETRUS A
12:p0281 =OK=> 12:p0500 XXIII. JACOB MOSSEL, JACOB VAN DER WAEYEN, PETRUS 
12:p0281 =OK=> 12:p0501 XXIV. JACOB MOSSEL, JACOB VAN DER WAEYEN, PETRUS A
12:p0281 =OK=> 12:p0509 XXV. JACOB MOSSEL, JACOB VAN DER WAEYEN, PETRUS AL
13:p0620 =OK=> 13:p0620 XLII. JACOB MOSSEL, JACOB VAN DER WAEYEN, PETRUS A
06:p0401 =XX=> 402 =/= 0402
09:p0294 =XX=> 327 =/= 0327
09:p0344 =XX=> 627 =/= 0627
09:p0628 =XX=> 830 =/= 0830
11:p0350 =XX=> 868 =/= 0868
12:p0281 =XX=> 510 =/= 0510
13:p0620 =XX=> 626 =/= 0626
